university_name,year,subject_type,major_group,subject_requirement,min_score,min_rank
清华大学,2025,物理类,04专业组,化学,684,126
清华大学,2025,物理类,02专业组,不限,679,227
北京大学,2025,物理类,05专业组,化学,686,126
北京大学,2025,物理类,03专业组,不限,666,1147
南京大学,2025,物理类,07专业组,化学,661,1835
南京大学,2025,物理类,08专业组,化学,658,2414
南京大学,2025,物理类,09专业组,化学(中外合作),645,5985
东南大学,2025,物理类,06专业组,化学,657,2618
东南大学,2025,物理类,07专业组,不限,654,3281
东南大学,2025,物理类,08专业组,化学,644,6362
南京航空航天大学,2025,物理类,04专业组,化学,654,3281
南京航空航天大学,2025,物理类,06专业组,化学,645,5985
南京航空航天大学,2025,物理类,07专业组,化学(中外合作),615,22495
南京理工大学,2025,物理类,02专业组,化学,643,6732
河海大学,2025,物理类,07专业组,化学,628,13915
苏州大学,2025,物理类,30专业组,化学+生物,655,3081
苏州大学,2025,物理类,14专业组,不限,602,33069
南京邮电大学,2025,物理类,06专业组,化学,561,78396
